stock_id,perfume_id,perfume_name,size_ml,quantity_available,reorder_point,status,last_updated,warehouse_location
STK-PRF-001-50,PRF-001,Hermès Eveniet Flora,50,117,97,Available,2026-07-21,Gudang Surabaya
STK-PRF-001-100,PRF-001,Hermès Eveniet Flora,100,112,44,Available,2026-07-21,Gudang Bandung
STK-PRF-002-50,PRF-002,Tom Ford Est Oud,50,128,37,Available,2026-07-21,Gudang Bandung
STK-PRF-002-100,PRF-002,Tom Ford Est Oud,100,49,100,Low Stock,2026-07-21,Gudang Bandung
STK-PRF-003-50,PRF-003,Byredo Totam Absolu,50,20,59,Low Stock,2026-07-21,Gudang Surabaya
STK-PRF-003-100,PRF-003,Byredo Totam Absolu,100,17,94,Low Stock,2026-07-21,Gudang Surabaya
STK-PRF-004-50,PRF-004,Jo Malone Possimus Flora,50,374,36,Available,2026-07-21,Gudang Jakarta
STK-PRF-004-100,PRF-004,Jo Malone Possimus Flora,100,465,57,Available,2026-07-21,Gudang Surabaya
STK-PRF-005-50,PRF-005,Hermès Odit Intense,50,382,73,Available,2026-07-21,Gudang Jakarta
STK-PRF-005-100,PRF-005,Hermès Odit Intense,100,102,36,Available,2026-07-21,Gudang Bandung
STK-PRF-006-50,PRF-006,Dior Dolor Absolu,50,448,66,Available,2026-07-21,Gudang Bandung
STK-PRF-006-100,PRF-006,Dior Dolor Absolu,100,256,54,Available,2026-07-21,Gudang Jakarta
STK-PRF-007-50,PRF-007,Jo Malone Hic Absolu,50,131,81,Available,2026-07-21,Gudang Surabaya
STK-PRF-007-100,PRF-007,Jo Malone Hic Absolu,100,382,63,Available,2026-07-21,Gudang Jakarta
STK-PRF-008-50,PRF-008,Le Labo Ex Absolu,50,239,29,Available,2026-07-21,Gudang Jakarta
STK-PRF-008-100,PRF-008,Le Labo Ex Absolu,100,386,48,Available,2026-07-21,Gudang Bandung
STK-PRF-009-50,PRF-009,Gucci Magnam,50,370,70,Available,2026-07-21,Gudang Bandung
STK-PRF-009-100,PRF-009,Gucci Magnam,100,187,31,Available,2026-07-21,Gudang Surabaya
STK-PRF-010-50,PRF-010,Dior Consectetur Flora,50,7,53,Low Stock,2026-07-21,Gudang Bandung
